         10123545275 function calls (9508084531 primitive calls) in 16546.580 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 __init__.py:462(loads)
        3    0.000    0.000    0.000    0.000 _strptime.py:27(_getlang)
        3    0.000    0.000    0.000    0.000 _strptime.py:295(_strptime)
        3    0.000    0.000    0.000    0.000 adapter.py:368(adapt)
      161    0.002    0.000    0.002    0.000 attrsettr.py:35(__getattr__)
251259427/59400867 4002.550    0.000 10981.824    0.000 copy.py:145(deepcopy)
908155263   87.480    0.000   87.480    0.000 copy.py:198(_deepcopy_atomic)
284522577/73943739  876.062    0.000 10629.120    0.000 copy.py:226(_deepcopy_list)
390987597 1186.814    0.000 2462.297    0.000 copy.py:234(_deepcopy_tuple)
156043068/3635718  660.595    0.000 7828.376    0.002 copy.py:253(_deepcopy_dict)
1895751573  977.701    0.000 1275.697    0.000 copy.py:267(_keep_alive)
61807206/3635718  159.342    0.000 7864.710    0.002 copy.py:283(_deepcopy_inst)
 94235862  357.484    0.000 4206.995    0.000 copy.py:306(_reconstruct)
 94235862   35.112    0.000   53.532    0.000 copy_reg.py:92(__newobj__)
        6    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
        3    0.000    0.000    0.000    0.000 cp1252.py:11(encode)
        3    0.000    0.000    0.000    0.000 cp1252.py:14(decode)
       12    0.000    0.000    0.000    0.000 decoder.py:363(decode)
       12    0.000    0.000    0.000    0.000 decoder.py:376(raw_decode)
      656    0.002    0.000    0.002    0.000 encoder.py:121(__init__)
      656    0.002    0.000    0.286    0.000 encoder.py:254(encode)
      656    0.131    0.000    0.283    0.000 encoder.py:283(iterencode)
     4589    0.008    0.000    0.150    0.000 encoder.py:42(encode_basestring)
     1110    0.001    0.000    0.001    0.000 encoder.py:52(replace)
        3    0.000    0.000    0.000    0.000 error.py:26(__init__)
      167    0.000    0.000    0.001    0.000 hmac.py:100(_current)
      167    0.000    0.000    0.001    0.000 hmac.py:119(hexdigest)
      167    0.000    0.000    0.000    0.000 hmac.py:30(__init__)
      668    0.000    0.000    0.002    0.000 hmac.py:83(update)
      167    0.001    0.000    0.002    0.000 hmac.py:88(copy)
     1635    0.001    0.000    0.003    0.000 iostream.py:102(_check_mp_mode)
      167    0.001    0.000    0.015    0.000 iostream.py:123(_flush_from_subprocesses)
      167    0.002    0.000    0.913    0.005 iostream.py:151(flush)
     1468    0.007    0.000    1.145    0.001 iostream.py:207(write)
      167    0.001    0.000    0.047    0.000 iostream.py:238(_flush_buffer)
      167    0.001    0.000    0.001    0.000 iostream.py:247(_new_buffer)
     1802    0.002    0.000    0.002    0.000 iostream.py:93(_is_master_process)
      167    0.001    0.000    0.001    0.000 iostream.py:96(_is_master_thread)
      656    0.002    0.000    0.368    0.001 jsonapi.py:31(dumps)
       12    0.000    0.000    0.000    0.000 jsonapi.py:47(loads)
       18    0.000    0.000    0.000    0.000 jsonutil.py:30(parse_date)
     24/6    0.000    0.000    0.000    0.000 jsonutil.py:50(extract_dates)
      328    0.000    0.000    0.001    0.000 jsonutil.py:75(date_default)
      9/3    0.000    0.000    0.000    0.000 jsonutil.py:96(json_clean)
        3    0.000    0.000    6.011    2.004 kernelbase.py:663(raw_input)
        3    0.000    0.000    6.011    2.004 kernelbase.py:680(_input_request)
        3    0.000    0.000    0.000    0.000 locale.py:363(normalize)
        3    0.000    0.000    0.000    0.000 locale.py:447(_parse_localename)
        3    0.000    0.000    0.000    0.000 locale.py:546(getlocale)
      167    0.001    0.000    0.012    0.000 poll.py:77(poll)
      167    0.000    0.000    0.000    0.000 py3compat.py:12(no_code)
        3    0.000    0.000    0.000    0.000 py3compat.py:19(encode)
        9    0.000    0.000    0.000    0.000 py3compat.py:243(iteritems)
       74    0.000    0.000    0.000    0.000 random.py:273(choice)
      164    0.000    0.000    0.002    0.000 session.py:206(msg_header)
      164    0.001    0.000    0.001    0.000 session.py:211(extract_header)
      164    0.001    0.000    0.009    0.000 session.py:452(msg_id)
      164    0.001    0.000    0.013    0.000 session.py:504(msg_header)
      164    0.001    0.000    0.015    0.000 session.py:507(msg)
      167    0.001    0.000    0.006    0.000 session.py:526(sign)
      164    0.002    0.000    0.379    0.002 session.py:541(serialize)
      164    0.003    0.000    0.845    0.005 session.py:600(send)
        3    0.000    0.000    6.009    2.003 session.py:714(recv)
        3    0.000    0.000    0.000    0.000 session.py:748(feed_identities)
        3    0.000    0.000    0.000    0.000 session.py:785(_add_digest)
        3    0.000    0.000    0.001    0.000 session.py:809(deserialize)
      656    0.001    0.000    0.370    0.001 session.py:94(<lambda>)
       12    0.000    0.000    0.000    0.000 session.py:97(<lambda>)
      164    0.002    0.000    0.448    0.003 socket.py:289(send_multipart)
        6    0.000    0.000    6.009    1.001 socket.py:333(recv_multipart)
      167    0.000    0.000    0.000    0.000 threading.py:1152(currentThread)
      167    0.000    0.000    0.000    0.000 threading.py:983(ident)
     2195    0.002    0.000    0.002    0.000 traitlets.py:420(__get__)
     1468    0.001    0.000    0.004    0.000 utf_8.py:15(decode)
      164    0.004    0.000    0.005    0.000 uuid.py:101(__init__)
      164    0.001    0.000    0.001    0.000 uuid.py:197(__str__)
      164    0.002    0.000    0.008    0.000 uuid.py:579(uuid4)
        3    0.000    0.000    0.000    0.000 {_codecs.charmap_decode}
        3    0.000    0.000    0.000    0.000 {_codecs.charmap_encode}
     1468    0.002    0.000    0.002    0.000 {_codecs.utf_8_decode}
        3    0.000    0.000    0.000    0.000 {_locale.setlocale}
 94235862   18.420    0.000   18.420    0.000 {built-in method __new__ of type object at 0x000000001E2A0670}
      164    0.001    0.000    0.001    0.000 {built-in method now}
        3    0.000    0.000    0.000    0.000 {built-in method strptime}
188471885   78.756    0.000   78.756    0.000 {getattr}
341464859  233.364    0.000  233.366    0.000 {hasattr}
-1100959119  447.890   -0.000  447.890   -0.000 {id}
282718841   55.553    0.000   55.553    0.000 {isinstance}
 94235862   21.956    0.000   21.956    0.000 {issubclass}
1206209950   81.335    0.000   81.335    0.000 {len}
      164    0.000    0.000    0.000    0.000 {locals}
3749723/1305239   39.592    0.000 12434.432    0.010 {map}
      164    0.000    0.000    0.000    0.000 {max}
 94235862  400.040    0.000  400.040    0.000 {method '__reduce_ex__' of 'object' objects}
        3    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
179841958  455.630    0.000  455.630    0.000 {method 'append' of 'list' objects}
      656    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
      167    0.000    0.000    0.000    0.000 {method 'close' of '_io.StringIO' objects}
      501    0.001    0.000    0.001    0.000 {method 'copy' of '_hashlib.HASH' objects}
      164    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
  2043852    0.432    0.000    0.449    0.000 {method 'count' of 'list' objects}
     1471    0.003    0.000    0.007    0.000 {method 'decode' of 'str' objects}
      167    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      656    0.075    0.000    0.075    0.000 {method 'encode' of 'unicode' objects}
       27    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
      331    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
841783797  160.944    0.000  160.944    0.000 {method 'find' of 'str' objects}
-2053720261  689.691   -0.000  689.691   -0.000 {method 'get' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {method 'get' of 'dictproxy' objects}
       21    0.000    0.000    0.000    0.000 {method 'get' of 'zmq.backend.cython.socket.Socket' objects}
      167    0.046    0.000    0.046    0.000 {method 'getvalue' of '_io.StringIO' objects}
     1110    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        3    0.000    0.000    0.000    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
        3    0.000    0.000    0.000    0.000 {method 'groups' of '_sre.SRE_Match' objects}
      167    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
        3    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
      328    0.001    0.000    0.001    0.000 {method 'isoformat' of 'datetime.datetime' objects}
156043077   34.603    0.000   34.603    0.000 {method 'iteritems' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {method 'iterkeys' of 'dict' objects}
      656    0.000    0.000    0.000    0.000 {method 'join' of 'unicode' objects}
   519126    0.121    0.000    0.121    0.000 {method 'lower' of 'str' objects}
       45    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       74    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
       24    6.008    0.250    6.008    0.250 {method 'recv' of 'zmq.backend.cython.socket.Socket' objects}
 79735427   23.897    0.000   33.346    0.000 {method 'remove' of 'list' objects}
     3444    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     1148    0.446    0.000    0.446    0.000 {method 'send' of 'zmq.backend.cython.socket.Socket' objects}
        3    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
     4589    0.139    0.000    0.140    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        6    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
        3    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      835    0.002    0.000    0.002    0.000 {method 'update' of '_hashlib.HASH' objects}
156043068   90.877    0.000   90.877    0.000 {method 'update' of 'dict' objects}
721086507   64.250    0.000   64.250    0.000 {method 'upper' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'weekday' of 'datetime.date' objects}
     1468    0.214    0.000    0.214    0.000 {method 'write' of '_io.StringIO' objects}
     1966    0.000    0.000    0.000    0.000 {nt.getpid}
      164    0.001    0.000    0.001    0.000 {nt.urandom}
    69183    0.595    0.000    0.595    0.000 {numpy.core.multiarray.array}
        3    0.000    0.000    0.000    0.000 {operator._compare_digest}
       12    0.000    0.000    0.000    0.000 {ord}
390987764  116.917    0.000  116.917    0.000 {range}
      167    0.000    0.000    0.000    0.000 {thread.get_ident}
     1468    0.002    0.000    0.002    0.000 {time.time}
      167    0.011    0.000    0.011    0.000 {zmq.backend.cython._poll.zmq_poll}
        3    0.000    0.000    0.000    0.000 {zmq.backend.cython.error.strerror}
